incident_id,opened_at,closed_at,priority,state,assignment_group,assigned_to,service,category,short_description,description,business_impact,resolution,location,reopened_count
INC000421,2026-03-02 08:12,2026-03-02 12:40,High,Closed,Application Support,Ana Torres,Customer Portal,Application,Users cannot access customer portal,Several users reported login errors after morning deployment. Authentication service returned timeout errors.,External users unable to access portal for several hours,Restarted authentication connector and cleared expired sessions,Spain,1
INC000422,2026-03-02 09:05,2026-03-02 10:15,Medium,Closed,Database Team,Marco Rossi,Reporting Platform,Database,Monthly report failed during generation,Finance report failed due to database timeout when querying large transaction table.,Delayed monthly finance reporting,Optimized query filter and reran report,Italy,0
INC000423,2026-03-03 11:30,,High,In Progress,Application Support,Elena Jimenez,Vendor Data Exchange,Integration,Vendor data file not generated,Automated file for vendor was not generated during scheduled process. Vendor requested urgent update.,Vendor cannot process monthly reconciliation,Investigation ongoing,Switzerland,0
INC000424,2026-03-03 15:42,2026-03-04 09:10,Critical,Closed,Infrastructure Team,David Klein,Order Management,Infrastructure,Order management system unavailable,Application unavailable due to expired certificate in load balancer.,Order processing stopped for multiple markets,Renewed certificate and restarted load balancer,Germany,2
INC000425,2026-03-04 10:00,2026-03-04 11:20,Low,Closed,Service Desk,Luis Martin,Internal Wiki,Access,User cannot access knowledge base,New employee could not access internal wiki due to missing group assignment.,Minor onboarding delay,Added user to correct access group,Spain,0
INC000426,2026-03-05 08:55,2026-03-05 14:35,High,Closed,Application Support,Ana Torres,Customer Portal,Application,Login errors in customer portal,Users experienced intermittent login issues. Similar symptoms to previous authentication incident.,Customer portal access degraded,Restarted authentication connector and monitored logs,Spain,1
INC000427,2026-03-05 13:10,,Medium,In Progress,Data Warehouse Team,Sofia Mendes,Sales Analytics,Data,Dashboard data not refreshed,Sales dashboard shows yesterday's data. ETL job completed with warnings.,Sales team working with outdated KPIs,Pending ETL dependency analysis,Portugal,0
INC000428,2026-03-06 07:45,2026-03-06 08:30,Medium,Closed,Service Desk,Peter Novak,CRM,Access,CRM role missing for business user,Business user lost access after role cleanup activity.,User unable to update customer records,Restored CRM role and documented access mapping,Czech Republic,0
INC000429,2026-03-06 16:20,,High,Open,Application Support,Elena Jimenez,Vendor Data Exchange,Integration,Vendor reconciliation file delayed again,Monthly vendor extract failed again. Same vendor and same dataset as previous incident.,Repeated business delay and vendor escalation,Not resolved yet,Switzerland,1
INC000430,2026-03-07 10:10,2026-03-07 13:55,Medium,Closed,Database Team,Marco Rossi,Reporting Platform,Database,Report generation timeout,Large report failed again due to database timeout during peak usage.,Delayed business reporting,Scheduled report outside peak hours,Italy,0
INC000431,2026-03-08 09:25,2026-03-08 17:40,High,Closed,Application Support,Ana Torres,Customer Portal,Application,Customer portal login timeout,Multiple users unable to authenticate. Authentication connector timeout detected again.,Customer access degraded,Temporary restart performed; permanent fix pending,Spain,2
INC000432,2026-03-08 14:00,,Medium,Open,Infrastructure Team,David Klein,Monitoring Platform,Monitoring,Missing alerts for failed jobs,ETL failures were not detected by monitoring tool because alert rule was disabled.,Delayed incident detection,Pending alert rule review,Germany,0
INC000433,2026-03-09 12:15,2026-03-09 15:00,Low,Closed,Service Desk,Luis Martin,Internal Wiki,Access,Access request pending approval,Access request was waiting for business approver for more than 48 hours.,Minor productivity delay,Reminder sent to approver,Spain,0
INC000434,2026-03-10 08:35,,Critical,In Progress,Application Support,Elena Jimenez,Order Management,Application,Order synchronization failing,Orders are not synchronized between regional system and central platform.,Potential delay in customer order processing,Investigation with integration team ongoing,France,0
INC000435,2026-03-10 10:50,2026-03-10 12:05,Medium,Closed,Data Warehouse Team,Sofia Mendes,Sales Analytics,Data,ETL warning caused missing data,Sales data incomplete due to warning ignored by ETL process.,Incomplete business dashboard,Reprocessed missing data and created follow-up task,Portugal,0
INC000436,2026-03-11 09:00,,High,Open,Application Support,Ana Torres,Customer Portal,Application,Repeated portal authentication issue,Authentication instability continues after temporary fixes. Needs root cause analysis.,Repeated customer impact and support workload,Not resolved yet,Spain,3 